isolate	seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
SBV002_flye	contig_1	4707205	63	Y	N	1	*	1
SBV003_flye	contig_1	4813176	153	Y	N	1	*	1
SBV004_flye	contig_1	4735868	48	Y	N	1	*	1
SBV005_flye	contig_1	4710527	133	Y	N	1	*	1
SBV005_flye	contig_2	93721	119	Y	N	1	*	2
SBV005_flye	contig_3	4593	109	Y	Y	1	*	3
SBV006_flye	contig_1	4838529	165	N	N	1	*	1
SBV006_flye	contig_2	10107	69	N	N	1	*	2
SBV007_flye	contig_1	3069525	160	N	N	1	*	-2,1,2
SBV007_flye	contig_5	1605239	120	N	N	1	*	2,5,-2
SBV007_flye	contig_7	93712	101	Y	N	1	*	7
SBV007_flye	contig_3	35616	190	N	Y	1	2	*,3,*
SBV007_flye	contig_6	9185	86	Y	N	1	*	6
SBV008_flye	contig_1	4805564	248	Y	N	1	*	1
SBV009_flye	contig_1	4853898	141	Y	N	1	*	1
SBV010_flye	contig_1	4637345	39	Y	N	1	*	1
SBV010_flye	contig_2	93712	26	Y	N	1	*	2
SBV011_flye	contig_1	4662498	64	Y	N	1	*	1
SBV011_flye	contig_2	93751	42	Y	N	1	*	2
SBV012_flye	contig_1	4737862	71	Y	N	1	*	1
SBV013_flye	contig_3	4769953	56	Y	N	1	*	3
SBV013_flye	contig_6	29666	63	Y	N	1	*	6
SBV013_flye	contig_4	9394	89	Y	N	1	*	4
SBV013_flye	contig_5	8142	100	Y	Y	2	*	5
SBV013_flye	contig_2	6495	53	N	Y	1	2	*,2,*
SBV014_flye	contig_1	4733995	96	Y	N	1	*	1
SBV015_flye	contig_1	4741900	94	Y	N	1	*	1
SBV015_flye	contig_5	28361	97	N	Y	1	4	*,5,*
SBV015_flye	contig_4	27360	20	N	Y	1	4	*,4,*
SBV016_flye	contig_3	3875797	80	N	N	1	*	-2,3,-2
SBV016_flye	contig_6	921154	70	N	N	1	*	2,6,2
SBV016_flye	contig_1	93733	120	Y	N	2	*	1
SBV016_flye	contig_2	40956	60	N	Y	1	*	2
SBV016_flye	contig_7	32620	201	Y	Y	3	*	7
SBV016_flye	contig_5	2251	70	N	Y	1	2	*,5,*
SBV017_flye	contig_3	3506464	95	N	N	1	*	-2,3,-2
SBV017_flye	contig_1	973235	98	N	N	1	*	-2,1,-2
SBV017_flye	contig_2	457802	208	N	Y	2	*	2
SBV018_flye	contig_1	4714522	34	Y	N	1	*	1
SBV019_flye	contig_1	4753135	76	Y	N	1	*	1
SBV019_flye	contig_2	93831	50	Y	N	1	*	2
SBV020_flye	contig_1	4769951	123	Y	N	1	*	1
SBV021_flye	contig_1	4661812	110	Y	N	1	*	1
SBV021_flye	contig_2	93712	76	Y	N	1	*	2
SBV022_flye	contig_1	3190458	142	N	N	1	*	-2,1,2
SBV022_flye	contig_5	1605073	104	N	N	1	*	2,5,-2
SBV022_flye	contig_6	93712	156	Y	N	1	*	6
SBV022_flye	contig_2	41182	27	N	Y	1	*	2
SBV022_flye	contig_4	35616	125	N	Y	1	2	*,4,*
SBV022_flye	contig_7	4593	212	Y	Y	1	*	7
SBV023_flye	contig_1	3069528	138	N	N	1	*	-2,1,2
SBV023_flye	contig_5	1605252	106	N	N	1	*	2,5,-2
SBV023_flye	contig_6	93712	116	Y	N	1	*	6
SBV023_flye	contig_3	35616	134	N	Y	1	2	*,3,*
SBV023_flye	contig_7	8968	100	Y	N	1	*	7
SBV024_flye	contig_1	4753133	118	Y	N	1	*	1
SBV024_flye	contig_2	93837	102	Y	N	1	*	2
SBV026_flye	contig_1	4723378	46	Y	N	1	*	1
SBV026_flye	contig_2	93810	67	Y	N	1	*	2
SBV027_flye	contig_1	4746102	154	Y	N	1	*	1
SBV027_flye	contig_5	93712	199	Y	N	1	*	5
SBV027_flye	contig_2	35616	87	N	Y	87	2	*,2,*
SBV027_flye	contig_4	9389	219	Y	N	1	*	4
SBV028_flye	contig_1	4810433	91	N	N	1	*	2,2,1,2
SBV029_flye	contig_1	4701039	215	Y	N	1	*	1
SBV029_flye	contig_2	93727	278	Y	N	1	*	2
SBV030_flye	contig_5	1680135	128	N	N	1	*	1,5,8,-7
SBV030_flye	contig_2	1605228	112	N	N	1	*	-1,2,1
SBV030_flye	contig_6	1316813	141	N	N	1	*	1,6
SBV030_flye	contig_9	93712	104	Y	N	1	*	9
SBV030_flye	contig_7	90088	295	N	Y	2	*	7
SBV030_flye	contig_4	35616	132	N	Y	1	2	*,4,*
SBV030_flye	contig_10	9186	74	Y	N	1	*	10
SBV030_flye	contig_11	2096	1372	Y	Y	13	*	11
SBV031_flye	contig_1	4738831	190	Y	N	1	*	1
SBV032_flye	contig_1	4679351	197	Y	N	1	*	1
SBV032_flye	contig_2	93727	251	Y	N	1	*	2
SBV033_flye	contig_1	4744804	185	Y	N	1	*	1
SBV033_flye	contig_2	93712	211	Y	N	1	*	2
SBV033_flye	contig_3	4593	472	Y	Y	2	*	3
SBV035_flye	contig_1	4478456	40	N	N	1	*	1,3,-4
SBV035_flye	contig_2	184345	45	N	N	1	*	4,-3,2
