isolate	seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
AG1319_P3_009_SBV149_flye	contig_1	3071208	424	N	N	1	*	3,1,-3
AG1319_P3_009_SBV149_flye	contig_2	1605222	388	N	N	1	*	-3,2,3
AG1319_P3_009_SBV149_flye	contig_7	93706	267	Y	N	1	*	7
AG1319_P3_009_SBV149_flye	contig_4	35616	430	N	Y	1	2	*,4,*
AG1319_P3_009_SBV149_flye	contig_6	9186	158	Y	N	1	*	6
SBV040_flye	contig_1	3069540	115	N	N	1	*	3,1,-3
SBV040_flye	contig_2	1605223	81	N	N	1	*	-3,2,3
SBV040_flye	contig_7	93712	96	Y	N	1	*	7
SBV040_flye	contig_3	41174	21	N	Y	1	*	3
SBV040_flye	contig_5	35616	106	N	Y	1	2	*,5,*
SBV040_flye	contig_4	34470	20	N	Y	1	2	*,4,*
SBV040_flye	contig_6	8971	130	Y	N	1	*	6
SBV065_flye	contig_1	4744870	184	Y	N	1	*	1
SBV065_flye	contig_5	93712	143	Y	N	1	*	5
SBV065_flye	contig_6	87349	231	Y	N	1	*	6
SBV065_flye	contig_3	35616	171	N	Y	19	2	*,3,*
SBV065_flye	contig_4	9186	262	Y	N	1	*	4
SBV073_flye	contig_1	3069528	161	N	N	1	*	-3,1,3
SBV073_flye	contig_2	1605237	147	N	N	1	*	3,2,-3
SBV073_flye	contig_7	93712	134	Y	N	1	*	7
SBV073_flye	contig_4	35616	172	N	Y	1	2	*,4,*
SBV073_flye	contig_6	4593	420	Y	Y	2	*	6
SBV074_flye	contig_1	3069529	252	N	N	1	*	-3,1,3
SBV074_flye	contig_2	1605229	245	N	N	1	*	3,2,-3
SBV074_flye	contig_7	93712	198	Y	N	1	*	7
SBV074_flye	contig_4	35616	255	N	Y	1	2	*,4,*
SBV074_flye	contig_6	4593	644	Y	Y	2	*	6
SBV085_flye	contig_4	3069534	172	N	N	1	*	-1,4,1
SBV085_flye	contig_3	1604799	157	N	N	1	*	1,3,-1
SBV085_flye	contig_6	93712	150	Y	N	1	*	6
SBV085_flye	contig_5	35616	225	N	Y	1	2	*,5,*
SBV085_flye	contig_7	9186	113	Y	N	1	*	7
SBV126_flye	contig_2	3069238	282	N	N	1	*	3,2,-3
SBV126_flye	contig_1	1605237	261	N	N	1	*	-3,1,3
SBV126_flye	contig_7	93712	239	Y	N	1	*	7
SBV126_flye	contig_5	34469	274	N	Y	1	2	*,5,*
SBV126_flye	contig_6	9338	94	Y	N	1	*	6
SBV131_flye	contig_1	3069519	178	N	N	1	*	-3,1,3
SBV131_flye	contig_2	1605270	154	N	N	1	*	3,2,-3
SBV131_flye	contig_7	93712	154	Y	N	1	*	7
SBV131_flye	contig_5	35616	173	N	Y	1	2	*,5,*
SBV131_flye	contig_6	9186	163	Y	N	1	*	6
SBV137_flye	contig_1	3069545	35	N	N	1	*	3,1,-3
SBV137_flye	contig_2	1605227	33	N	N	1	*	-3,2,3
SBV137_flye	contig_7	93712	33	Y	N	1	*	7
SBV137_flye	contig_3	42329	19	N	Y	1	*	3
SBV137_flye	contig_4	35616	13	N	Y	1	2	*,4,*
SBV137_flye	contig_5	34469	35	N	Y	1	2	*,5,*
SBV137_flye	contig_6	9192	90	Y	Y	2	*	6
SBV154_flye	contig_1	4744875	141	Y	N	1	*	1
SBV154_flye	contig_5	92926	128	Y	N	1	*	5
SBV154_flye	contig_2	3098	449	N	Y	3	2	*,2,*
SBV154_flye	contig_4	2933	580	Y	Y	5	*	4
SBV155_flye	contig_1	3069541	268	N	N	1	*	3,1,-3
SBV155_flye	contig_2	1605237	250	N	N	1	*	-3,2,3
SBV155_flye	contig_7	93712	223	Y	N	1	*	7
SBV155_flye	contig_4	35616	263	N	Y	1	2	*,4,*
SBV155_flye	contig_6	4593	560	Y	Y	2	*	6
SBV177_flye	contig_1	3069527	196	N	N	1	*	-2,1,2
SBV177_flye	contig_5	1605252	177	N	N	1	*	2,5,-2
SBV177_flye	contig_8	93719	149	Y	N	1	*	8
SBV177_flye	contig_4	35616	188	N	Y	1	2	*,4,*
SBV177_flye	contig_7	9186	225	Y	N	1	*	7
SBV177_flye	contig_6	8677	153	Y	N	1	*	6
SBV178_flye	contig_1	3069525	111	N	N	1	*	-2,1,2
SBV178_flye	contig_5	1605237	99	N	N	1	*	2,5,-2
SBV178_flye	contig_7	93712	91	Y	N	1	*	7
SBV178_flye	contig_2	41175	22	N	Y	1	*	2
SBV178_flye	contig_3	35616	111	N	Y	1	2	*,3,*
SBV178_flye	contig_6	4595	427	Y	Y	4	*	6
SBV179_flye	contig_1	4744426	129	Y	N	1	*	1
SBV179_flye	contig_3	93712	82	Y	N	1	*	3
SBV179_flye	contig_2	9105	105	Y	N	1	*	2
SBV180_flye	contig_1	3069519	97	N	N	1	*	-3,1,3
SBV180_flye	contig_2	1605243	77	N	N	1	*	3,2,-3
SBV180_flye	contig_6	93285	73	Y	N	1	*	6
SBV180_flye	contig_3	41187	21	N	Y	1	*	3
SBV180_flye	contig_4	35616	83	N	Y	1	2	*,4,*
SBV180_flye	contig_5	34470	20	N	Y	1	2	*,5,*
SBV180_flye	contig_7	4593	281	Y	Y	4	*	7
SBV181_flye	contig_1	4744890	149	Y	N	1	*	1
SBV181_flye	contig_3	93718	122	Y	N	1	*	3
SBV181_flye	contig_2	9186	317	Y	Y	2	*	2
SBV182_flye	contig_2	4379395	259	N	N	1	*	2,1
SBV182_flye	contig_6	359702	232	N	N	1	*	6
SBV182_flye	contig_3	136727	114	N	N	1	*	3
SBV182_flye	contig_5	86554	108	N	N	1	*	-1,5,1
SBV182_flye	contig_4	68455	106	N	N	1	*	4
SBV182_flye	contig_7	39463	877	Y	Y	3	*	7
SBV183_flye	contig_1	4744888	174	Y	N	1	*	1
SBV183_flye	contig_3	93712	140	Y	N	1	*	3
SBV183_flye	contig_2	4593	635	Y	Y	4	*	2
SBV184_flye	contig_1	3069540	182	N	N	1	*	3,1,-3
SBV184_flye	contig_2	1605240	159	N	N	1	*	-3,2,3
SBV184_flye	contig_7	93712	147	Y	N	1	*	7
SBV184_flye	contig_4	35616	184	N	Y	1	2	*,4,*
SBV184_flye	contig_6	9186	239	Y	Y	1	*	6
SBV185_flye	contig_1	4744895	190	Y	N	1	*	1
SBV185_flye	contig_5	93712	163	Y	N	1	*	5
SBV185_flye	contig_4	3246	715	Y	Y	4	*	4
SBV185_flye	contig_2	2309	798	N	Y	5	2	*,2,*
SBV186_flye	contig_1	3069529	131	N	N	1	*	-3,1,3
SBV186_flye	contig_2	1605246	113	N	N	1	*	3,2,-3
SBV186_flye	contig_6	93718	105	Y	N	1	*	6
SBV186_flye	contig_3	41175	27	N	Y	1	*	3
SBV186_flye	contig_4	35616	130	N	Y	1	2	*,4,*
SBV186_flye	contig_7	9189	389	Y	Y	3	*	7
SBV187_flye	contig_1	4744889	112	Y	N	1	*	1
SBV187_flye	contig_3	93721	93	Y	N	1	*	3
SBV187_flye	contig_2	9189	198	Y	Y	2	*	2
SBV188_flye	contig_1	4744890	107	Y	N	1	*	1
SBV188_flye	contig_3	93712	98	Y	N	1	*	3
SBV188_flye	contig_2	4593	470	Y	Y	5	*	2
SBV189_flye	contig_1	4744894	144	Y	N	1	*	1
SBV189_flye	contig_2	93712	128	Y	N	1	*	2
SBV189_flye	contig_3	9186	352	Y	Y	2	*	3
SBV190_flye	contig_2	3069526	157	N	N	1	*	-1,2,1
SBV190_flye	contig_4	1605251	143	N	N	1	*	1,4,-1
SBV190_flye	contig_7	93718	146	Y	N	1	*	7
SBV190_flye	contig_6	35616	145	N	Y	1	2	*,6,*
SBV190_flye	contig_5	4905	827	Y	Y	6	*	5
