isolate	seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
AG1319_P4_001_SBV270_flye	contig_1	3069540	95	N	N	1	*	3,1,-3
AG1319_P4_001_SBV270_flye	contig_2	1605237	81	N	N	1	*	-3,2,3
AG1319_P4_001_SBV270_flye	contig_6	93712	91	Y	N	1	*	6
AG1319_P4_001_SBV270_flye	contig_7	42928	169	Y	N	2	*	7
AG1319_P4_001_SBV270_flye	contig_3	41196	21	N	Y	1	*	3
AG1319_P4_001_SBV270_flye	contig_4	35616	85	N	Y	1	2	*,4,*
AG1319_P4_001_SBV270_flye	contig_5	34470	20	N	Y	1	2	*,5,*
AG1319_P4_001_SBV270_flye	contig_8	9185	262	Y	Y	3	*	8
AG1319_P4_002_SBV271_flye	contig_1	3069523	59	N	N	1	*	-3,1,3
AG1319_P4_002_SBV271_flye	contig_2	1605252	54	N	N	1	*	3,2,-3
AG1319_P4_002_SBV271_flye	contig_7	93713	55	Y	N	1	*	7
AG1319_P4_002_SBV271_flye	contig_3	41182	20	N	Y	1	*	3
AG1319_P4_002_SBV271_flye	contig_5	35616	60	N	Y	1	2	*,5,*
AG1319_P4_002_SBV271_flye	contig_4	34469	20	N	Y	1	2	*,4,*
AG1319_P4_002_SBV271_flye	contig_6	9186	85	Y	Y	2	*	6
AG1319_P4_003_SBV272_flye	contig_1	4789438	61	Y	N	1	*	1
AG1319_P4_003_SBV272_flye	contig_3	93703	78	Y	N	1	*	3
AG1319_P4_003_SBV272_flye	contig_2	9186	59	Y	N	1	*	2
AG1319_P4_004_SBV273_flye	contig_1	3069528	164	N	N	1	*	-3,1,3
AG1319_P4_004_SBV273_flye	contig_2	1605182	141	N	N	1	*	3,2,-3
AG1319_P4_004_SBV273_flye	contig_7	93712	147	Y	N	1	*	7
AG1319_P4_004_SBV273_flye	contig_5	35616	153	N	Y	1	2	*,5,*
AG1319_P4_004_SBV273_flye	contig_6	9186	135	Y	N	1	*	6
AG1319_P4_005_SBV274_flye	contig_1	3069519	129	N	N	1	*	-3,1,3
AG1319_P4_005_SBV274_flye	contig_2	1605174	110	N	N	1	*	3,2,-3
AG1319_P4_005_SBV274_flye	contig_7	93712	128	Y	N	1	*	7
AG1319_P4_005_SBV274_flye	contig_6	42928	259	Y	Y	2	*	6
AG1319_P4_005_SBV274_flye	contig_5	35616	123	N	Y	1	2	*,5,*
AG1319_P4_005_SBV274_flye	contig_8	4593	222	Y	Y	1	*	8
AG1319_P4_006_SBV275_flye	contig_1	3069529	198	N	N	1	*	-3,1,3
AG1319_P4_006_SBV275_flye	contig_2	1605174	187	N	N	1	*	3,2,-3
AG1319_P4_006_SBV275_flye	contig_7	93703	227	Y	N	1	*	7
AG1319_P4_006_SBV275_flye	contig_8	42928	445	Y	Y	2	*	8
AG1319_P4_006_SBV275_flye	contig_4	35616	198	N	Y	1	2	*,4,*
AG1319_P4_006_SBV275_flye	contig_6	9186	253	Y	N	1	*	6
AG1319_P4_007_SBV276_flye	contig_2	3069535	124	N	N	1	*	-3,2,3
AG1319_P4_007_SBV276_flye	contig_1	1605174	115	N	N	1	*	3,1,-3
AG1319_P4_007_SBV276_flye	contig_6	93712	133	Y	N	1	*	6
AG1319_P4_007_SBV276_flye	contig_7	87808	217	Y	N	2	*	7
AG1319_P4_007_SBV276_flye	contig_9	42928	285	Y	Y	2	*	9
AG1319_P4_007_SBV276_flye	contig_5	35616	130	N	Y	1	2	*,5,*
AG1319_P4_007_SBV276_flye	contig_8	9186	83	Y	N	1	*	8
AG1319_P4_008_SBV277_flye	contig_2	3069417	127	N	N	1	*	-3,2,3
AG1319_P4_008_SBV277_flye	contig_1	1605223	114	N	N	1	*	3,1,-3
AG1319_P4_008_SBV277_flye	contig_8	93712	103	Y	N	1	*	8
AG1319_P4_008_SBV277_flye	contig_4	35616	119	N	Y	1	2	*,4,*
AG1319_P4_008_SBV277_flye	contig_6	8458	93	Y	N	1	*	6
AG1319_P4_008_SBV277_flye	contig_7	3012	51	Y	Y	1	*	7
AG1319_P4_009_SBV278_flye	contig_1	3069529	106	N	N	1	*	-2,1,2
AG1319_P4_009_SBV278_flye	contig_5	1640422	95	N	N	1	*	2,5,-2
AG1319_P4_009_SBV278_flye	contig_7	93712	79	Y	N	1	*	7
AG1319_P4_009_SBV278_flye	contig_2	41182	22	N	Y	1	*	2
AG1319_P4_009_SBV278_flye	contig_4	35616	106	N	Y	1	2	*,4,*
AG1319_P4_009_SBV278_flye	contig_3	34469	20	N	Y	1	2	*,3,*
AG1319_P4_009_SBV278_flye	contig_6	13781	38	Y	N	1	*	6
AG1319_P4_010_SBV279_flye	contig_1	3069536	35	N	N	1	*	-2,1,2
AG1319_P4_010_SBV279_flye	contig_5	1605258	32	N	N	1	*	2,5,-2
AG1319_P4_010_SBV279_flye	contig_7	93721	27	Y	N	1	*	7
AG1319_P4_010_SBV279_flye	contig_2	41181	16	N	Y	1	*	2
AG1319_P4_010_SBV279_flye	contig_4	35616	37	N	Y	1	2	*,4,*
AG1319_P4_010_SBV279_flye	contig_3	34469	11	N	Y	1	2	*,3,*
AG1319_P4_010_SBV279_flye	contig_6	4593	60	Y	Y	1	*	6
AG1319_P4_011_SBV281_flye	contig_1	3069529	81	N	N	1	*	-2,1,2
AG1319_P4_011_SBV281_flye	contig_5	1605246	71	N	N	1	*	2,5,-2
AG1319_P4_011_SBV281_flye	contig_7	93724	62	Y	N	1	*	7
AG1319_P4_011_SBV281_flye	contig_2	41182	21	N	Y	1	*	2
AG1319_P4_011_SBV281_flye	contig_4	35616	79	N	Y	1	2	*,4,*
AG1319_P4_011_SBV281_flye	contig_3	34469	20	N	Y	1	2	*,3,*
AG1319_P4_011_SBV281_flye	contig_6	9186	56	Y	N	1	*	6
AG1319_P4_012_SBV282_flye	contig_5	3069427	99	N	N	1	*	1,5,-1
AG1319_P4_012_SBV282_flye	contig_2	1605232	91	N	N	1	*	-1,2,1
AG1319_P4_012_SBV282_flye	contig_6	93673	85	Y	N	1	*	6
AG1319_P4_012_SBV282_flye	contig_1	41176	22	N	Y	1	*	1
AG1319_P4_012_SBV282_flye	contig_4	35616	97	N	Y	1	2	*,4,*
AG1319_P4_012_SBV282_flye	contig_3	34470	20	N	Y	1	2	*,3,*
AG1319_P4_012_SBV282_flye	contig_7	4593	395	Y	Y	5	*	7
AG1319_P4_013_SBV283_flye	contig_1	4790148	127	Y	N	1	*	1
AG1319_P4_013_SBV283_flye	contig_2	93712	143	Y	N	1	*	2
AG1319_P4_013_SBV283_flye	contig_3	42928	292	Y	Y	2	*	3
AG1319_P4_014_SBV284_flye	contig_1	3069542	67	N	N	1	*	3,1,-3
AG1319_P4_014_SBV284_flye	contig_2	1605166	58	N	N	1	*	-3,2,3
AG1319_P4_014_SBV284_flye	contig_9	93712	55	Y	N	1	*	9
AG1319_P4_014_SBV284_flye	contig_10	42928	115	Y	N	2	*	10
AG1319_P4_014_SBV284_flye	contig_3	41174	20	N	Y	1	*	3
AG1319_P4_014_SBV284_flye	contig_4	35616	62	N	Y	1	2	*,4,*
AG1319_P4_014_SBV284_flye	contig_5	34471	19	N	Y	1	2	*,5,*
AG1319_P4_014_SBV284_flye	contig_6	4566	107	Y	Y	2	*	6
AG1319_P4_014_SBV284_flye	contig_7	2573	64	N	Y	1	4	*,7,*
AG1319_P4_015_SBV285_flye	contig_1	3069658	138	N	N	1	*	-3,1,3
AG1319_P4_015_SBV285_flye	contig_2	1605254	129	N	N	1	*	3,2,-3
AG1319_P4_015_SBV285_flye	contig_6	93718	128	Y	N	1	*	6
AG1319_P4_015_SBV285_flye	contig_3	41182	27	N	Y	1	*	3
AG1319_P4_015_SBV285_flye	contig_5	35616	136	N	Y	1	2	*,5,*
AG1319_P4_015_SBV285_flye	contig_7	9194	131	Y	N	1	*	7
AG1319_P4_016_SBV286_flye	contig_1	3069528	123	N	N	1	*	-3,1,3
AG1319_P4_016_SBV286_flye	contig_2	1605263	123	N	N	1	*	3,2,-3
AG1319_P4_016_SBV286_flye	contig_6	93712	113	Y	N	1	*	6
AG1319_P4_016_SBV286_flye	contig_5	35616	126	N	Y	1	2	*,5,*
AG1319_P4_016_SBV286_flye	contig_7	9186	227	Y	Y	2	*	7
AG1319_P4_017_SBV287_flye	contig_2	3069528	81	N	N	1	*	-3,2,3
AG1319_P4_017_SBV287_flye	contig_1	1605260	64	N	N	1	*	3,1,-3
AG1319_P4_017_SBV287_flye	contig_7	93712	57	Y	N	1	*	7
AG1319_P4_017_SBV287_flye	contig_3	42332	21	N	Y	1	*	3
AG1319_P4_017_SBV287_flye	contig_5	35616	20	N	Y	1	2	*,5,*
AG1319_P4_017_SBV287_flye	contig_4	34469	70	N	Y	1	2	*,4,*
